"name","website","telephone","fax","description"
"LISNAVE ESTALEIROS NAVAIS S.A MITRENA YARD Portugal ","www.lisnave.pt","+ 351 265 79 91 00","+ 351 265 71 93 19","Lisnave yard is fully equipped with all of the necessary workshops, services and facilities to carry out the wide range of tasks required of a ship repairer. The yard has ample craneage, staging, transporters for moving large sections of steel structures, dockside arms, painting and blasting equipment, air compressors, pumps and lighting units plus supplies of compressed air, gas, electricity and water. Dock nº 20 -  420 m x 75 m, draft 4,6 mDock nº 21 - 450 m x 75 m, draft 7,6 mDock nº 22 - 350 m x 55 m, draft 7,6 mDock nº 31 -  280 m x 39 m, draft 5,1 mDock nº 32 -  280 m x 39 m, draft 5,1 mDock nº 33 -  280 m x 39 m, draft 5,1 m9 Repair berths with the Total length 1 400 m, draft 6,6 mLifting Equipment - 20 Travelling Cranes (up to 100 t) and 1 Gantry Crane (500 t) over Docks nº 20 and 21 Facilities, Drydocks and Berths, Cleaning and Painting, Steelwork Repairs, Piping Repairs, Machinery Repairs, Electrical RepairsReconditioning, Tank Cleaning, Propeller Repairs, Turbo Charger Repairs, Tugs"
"Shipyard Royal Niestern Sander  The Netherlands ","www.niesternsander.com","+31(0)596-649401","+31(0)596-649403","Royal Niestern Sander has a wide, multi-specialized experience in ship repairs. The company has specialists in all existing sub-disciplines. This is an appropriate response to the demand for surveys, appraisals and the possible subsequent maintenance and repair orders. Shipyard Royal Niestern Sander is located in the Northern part of the Netherlands with a direct connection to the North Sea via the port of Delfzijl.\nA significant area of the Delfzijl harbour accommodates one of the most modern and versatile shipyards of the Netherlands, the yard of Royal Niestern Sander. Royal Niestern Sander is a member of Conoship International, Netherlands Maritime Technology, FME/CWM as well as SBE. Royal Niestern Sander is certified for ISO 9001 and SCC** (VCA**).\nShipbuildingThe shipbuilding yard is fully equipped for the engineering  and construction of ships up to 14,000 dwt and has a track record ranging from multipurpose dry cargo vessels, IMO 2 tankers, bulkers, containerfeeders to anchor handling tugs and ice breaking support multipurpose vessels (IMSV’s). Latest addition to this list is a maintenance support vessel for the offshore industry.\nShiprepair Main activities:\nShiprepair. Conversions and lengthenings. Offshore (accommodation units). De-/mobilizations. Carpentry.\nFacilities:2 floating docks for ships up to 200 m. length * 25 m. breadth and max. 10,000 tlc.600 m. quay.\nSlipway.Construction hall."
"Engine Deck Repair Belgium ","edr-antwerp.eu","+32 (0)3 253 27 52, +32 3 560 10 57","+32 3 253 27 58","Engine Deck Repair, which was formed in the late 90’s, started as a small workshop able to provide emergency repairs during cargo operations in the port of Antwerp.\nGradually EDR extended its technical service by offering its clients extensive repairs, afloat repairs and conversions on lay-by berths and during navigation. Furthermore, EDR even extended its services by introducing its own logistic, warehousing and purchasing department. Due to this success formula we could proudly announce in 2011 that EDR became the biggest Shiprepair company in Belgium. Nowadays our company posses the biggest dry dock of Antwerp.\nDockyard\nOur dockyard is spread over an area of 365.000 m² and provides 6 graving docks and over 2000 running meters of private berths. With our yard’s facilities and strong skilled workforce we are able to guarantee an excellent execution of propeller retrofits, bulbous bow repairs and renewals, grounding – and collision damage repairs and much more in no time.\nThe six graving docks, the fully equipped workshops for steel work, all kind of machining work, piping repairs and electrical work, together with a capacity of some 3000 Mtr. of wet repair berths, makes Antwerp Ship Repair one of the most important repair yards in Europe.\nDrydock DimensionsDock no.       Length (m)        Breath (m)        No 1     146     18     5     1 x 20No 2     166     21     6     1 x 20No 3     193     26     7     1 x 25No 4     207     27     7     2 x 25No 5     255     39     8     1 x 40 & 1 x 100No 6     312     50     8     1 x 25 & 1 x 100\nMaximum Capacity 180,000 dwtVoyage repairs in the port of Antwerp and river Scheldt area."
"Antwerp Ship Repair N.V. ","www.asr.be","+32 (0)3 540 12 11 mobile: +32 (0)492 726420","+32 (0)3 540 12 00","Antwerp Ship Repair, located in the heart of Antwerp Port, with more than a century of knowhow and experience in ship repair, offers a complete range of services in the field of drydocking, general repairs, maintenance, and conversions for any vessel up to 180,000 DWT.The six graving docks, the fully equipped workshops for steel work, all kind of machining work, piping repairs and electrical work, together with a capacity of some 3000 Mtr. of wet repair berths, makes Antwerp Ship Repair one of the most important repair yards in Europe.\nDrydock DimensionsDock no.       Length (m)        Breath (m)        No 1     146     18     5     1 x 20No 2     166     21     6     1 x 20No 3     193     26     7     1 x 25No 4     207     27     7     2 x 25No 5     255     39     8     1 x 40 & 1 x 100No 6     312     50     8     1 x 25 & 1 x 100\nMaximum Capacity 180,000 dwtVoyage repairs in the port of Antwerp and river Scheldt area."
"Repnaval Shipards Las Palmas de Gran Canaria ","www.repnaval.com","+34 928 46 61 68","+34 928 46 61 77","Repnaval was founded in London in the year 1909 with the name of “Compañía Carbonera de Las Palmas S.A “. In 1988 it became part of the Grupo Zamakona Yards in the Canary Islands. The privileged geografical and strategic location in the Port of Las Palmas de Gran Canaria as well as the excellent weather in the area make of Repnaval the suitable and idealistic place for repairing, maintenance and transformation vessels.\nRepnaval is a shipyard specialized in repair, transformation and maintenance of vessels which weight can reach to 3.500 tons with a positive deflection of 4%. Its installations are provided with 5 carriages prepared for dry docking for vessels with a maximum dimention of 126 metres length and 17,60 metres wide.The company includes special branches divided in different departments which give cover to all your needs:\nCarcase, ship bottom, Engineering, General Repairs, Structures repairs,Cleaning, sand blasting, painting.Sea voyage repairs, Isolating repair, Freezer plant repair, Building and correction of axles and boltsPainted surfaces repair, Working berth, Tanks cleaning and wastes management, Bumpkin, Non destructives tests."
"Gemak Shipyard Turkey Tuzla ","www.gemak.com","+90 216 581 23 00","+90 216 395 06 85","Gemak Shipyard located at Tuzla Turkey  is capable of carrying out docking and repair works of any kind of vessel including cable layers, LPG / LNG carriers, Passenger and Ro-Ro Ships, heavy-lifters, high-speed catamarans and seismic research vessels. Shipyard has two floating docks with the lifting capacities of 9000 and 28000 metric tons.\nVessels also be accommodated at repair berths up to 300 meters in length at a maximum draught of 12 meters. Floating docks are equipped with 2x10 and 2x5 tons cranes while max. crane capacity at the yard is 100 ton as a self-propelled floating crane ""Atlet"". UHP Blasting up to 2500 barGrit blasting up to SA2½, total 3000 m²/day with 50 nozzles capacityBallast and Cargo Tank coating with in-house facilitiesShaft/propeller/sterntube/rudder repairsElectrical/Radio-Navigation repairsUp to 30 ton/day steel renewal capacity with large amount of in-house steel stockTank coating with dehumidifiers, vacuum removers\n\n\nFacilities\nTypeLengthWidth internalDraftLifting CapacityCrane\n\n\n\nGraving Dock\n300.0m\n53.0m\n6.0m\n \nup to 250 tons\n\n\nFloating Dock\n245.0m\n34.0m\n6.5m\n28,000 tons\n2 x 10 tons\n\n\nFloating Dock\n170.0m\n23.0m\n5.3m\n9,000 tons\n2 x 5 tons\n\n\n\nFully equipped repair berths in Gemak, but also TGE Shipyard, cranes upto 40 tons which can also reach the docks. Floating crane 100 tons also available."
"Naval Rocha Shipyard Portugal ","www.navalrocha.pt","+ 351-213 915 900  + 351-213 915 914","+ 351-213 915 927","Naval Rocha is a modern Yard backed by decades of experience in maintenance and repair work on all type of vessels.\nNaval Rocha is strategically located in the heart of the Lisbon harbour, that has favourable climate all year around and that can still be able to charge competitively.\n\n\nFacilities\nTypeLengthWidth internalDraftLifting CapacityCrane\n\n\n\nGraving Dock\n173.5m\n22.1m\n9.6m\n \nup to 25 tons\n\n\nGraving Dock\n104.0m\n12.4m\n7.3m\n \nup to 25 tons\n\n\n"
"Sembcorp Marine Jurong Shipyard Pte Ltd. Singapore ","www.jspl.com.sg/index.php?page=facilities","(65) 6265-1766","(65) 6265-7231","Jurong Shipyard, the fully owned subsidiary of Sembcorp Marine, is renowned for offering a ""one-stop total service"" in ship repair, shipbuilding, ship conversion, rig building and offshore engineering and construction. Sprawling over a total land area of 68 hectares in 2 locations, Jurong Shipyard operates four graving docks with a total capacity of 1,100,000 dwt and berthing quays stretching over a total length of 2,728 metres with a maximum draft of 9 metres.\nDOCK / SIZE/ CAPACITY \nDD1 270m x 40m x 10m 100,000 dwt\nDD2 350m x 56m x 12m 300,000 dwt\nDD3 380m x 80.2m x 14m 500,000 dwt\nDD5 335m x 56m x 11m 200,000 dwt"
"ARAB SHIPBUILDING & REPAIR COMPANY ASRY ","www.asry.net","+973 671111","+973 670236","Since the commencement of operation of ASRY in September 1977 with a 500,000 tons dwt. dry-dock and two jetties, ASRY has gone through various expansions. In 1992, two floating docks were added which can handle vessels up to 120,000 tons dwt. and 80,000 tons dwt. respectively. In 2008, ASRY added two Slipways each with a dry berth length of 255 meters and a capacity of 5,000 tons dwt.\nSince the beginning, various types of marine and offshore vessels have undergone repairs at ASRY. In short, ASRY is now capable of handling repairs of different types / sizes of vessels. ASRY was among the first shipyards in the world to receive ISO certifications for Quality, Management, Environment and Health & Safety Systems in addition to the ISPS code for Port Security.\nASRY’s multinational workforce in addition to its in-house sub-contractors are committed to provide highly qualified services to the customers to their entire satisfaction. In order to further enhance the services, ASRY has gone through agreements with various specialist services. ASRYMAR, a subsidiary company of ASRY based in UK provides marketing support to ASRY in addition to other international agents.\nDocks  Length   \nGraving Dock No.1 :  375,00 m Floating Dock\nNo.2 :  252,00 m Floating Dock:  227,00 m Length of Wharves ( Quays , Jetties ) is defined as the actual length of marine structures ( including dolphins ).  Length of berths is defined as the maximum length of vessel that can be berthed .  Floating crane 200 Tons capacity Docks of 500,000, 120,000 & 80,000 dwt  "
"Remontowa Gdansk Shiprepair Yard S.A. Poland ","www.remontowa.com.pl","(+48 58) 307 16 00, (+48 58) 307 22 22","(+48 58) 301 25 32","Shipbuilders Shipyards. Ships Repairs & Services REMONTOWA is a shiprepair yard located in Gdansk Poland. It has over half a century of expertise gained world-wide on all kinds of maritime contracts. That tradition is regarded by the Remontowa's staff as a great obligation towards the future.\nRemontowa has been completing successfully its order portfolio with contracts for ferry conversions lenghtenings of shuttle tankers newbuildings of research and offshore vessels and complex ship repairs.\nRemontowa S.A. is the shiprepair yard with, by far, the biggest market share in Poland and ranks among largest yards in Europe and worldwide in some sectors of repair business. Annually, 160 up to about 200 ships are under repairs at Remontowa S.A.\nThe newbuilding area was exceptionally strong in REMONTOWA Group in the year 2005. Sales in this area achieved the level of about PLN 400 million.\nThe Remontowa S.A. owns 6 floating docks which can accommodate vessels up to 290 m in length and approximately 135 000 dwt. We have also the possibility of repairing vessels up to 295 m in length berthed along the shipyard quays. Our quays are 6000 m long, including 3500 m of fully equipped with the essential infrastructure, electric supply and technical gas supply quays. We have 24 cranes of lifting capacity up to 300 t at our disposal.\nTechnical features of Remontowa docksLifting capacity     [ t ]         900    2500    6000    9000         15 000    25 000     36 000Docking capacity     [ dwt ] 1500    4000    8000    18 000     50 000     85 000     135 000Overall length     [ m ]       92.00    83.80    136.00    164.00    189.40    225.00    256.50Supported length     [ m ]  76.00    67.00    125.00    150.00    185.00    210.00    255.00Clear breadth     [ m ]     16.00    19.80    24.00    25.80    37.00    37.00    44.00Trim     [ m ]    3.00       1.80    2.50      3.00    3.00      4.50    3.00Ship's draught     [ m ]    4.50    4.90    5.20    6.80   "
